malice,generic,trojan,ransomware,worm,backdoor,spyware,rootkit,encrypter,downloader,label,source_is_json,source_is_office,file_ext,file_id
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,.json,e8deff2685d79683c09e3b7f66f6487e7f9ce6e4ce63619d24fb0cad81fdede2
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,.json,e8deff2685d79683c09e3b7f66f6487e7f9ce6e4ce63619d24fb0cad81fdede2
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,.json,e8deff2685d79683c09e3b7f66f6487e7f9ce6e4ce63619d24fb0cad81fdede2
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,.json,e8deff2685d79683c09e3b7f66f6487e7f9ce6e4ce63619d24fb0cad81fdede2
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,.json,e8deff2685d79683c09e3b7f66f6487e7f9ce6e4ce63619d24fb0cad81fdede2
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,.json,e8deff2685d79683c09e3b7f66f6487e7f9ce6e4ce63619d24fb0cad81fdede2
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,.json,e8deff2685d79683c09e3b7f66f6487e7f9ce6e4ce63619d24fb0cad81fdede2
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,.json,e8deff2685d79683c09e3b7f66f6487e7f9ce6e4ce63619d24fb0cad81fdede2
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,.json,e8deff2685d79683c09e3b7f66f6487e7f9ce6e4ce63619d24fb0cad81fdede2
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,.json,e8deff2685d79683c09e3b7f66f6487e7f9ce6e4ce63619d24fb0cad81fdede2
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,.json,e8deff2685d79683c09e3b7f66f6487e7f9ce6e4ce63619d24fb0cad81fdede2
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,.json,e8deff2685d79683c09e3b7f66f6487e7f9ce6e4ce63619d24fb0cad81fdede2
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,.json,e8deff2685d79683c09e3b7f66f6487e7f9ce6e4ce63619d24fb0cad81fdede2
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,.json,e8deff2685d79683c09e3b7f66f6487e7f9ce6e4ce63619d24fb0cad81fdede2
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,.json,e8deff2685d79683c09e3b7f66f6487e7f9ce6e4ce63619d24fb0cad81fdede2
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,.json,e8deff2685d79683c09e3b7f66f6487e7f9ce6e4ce63619d24fb0cad81fdede2
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,.json,e8deff2685d79683c09e3b7f66f6487e7f9ce6e4ce63619d24fb0cad81fdede2
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,.json,e8deff2685d79683c09e3b7f66f6487e7f9ce6e4ce63619d24fb0cad81fdede2
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,.json,e8deff2685d79683c09e3b7f66f6487e7f9ce6e4ce63619d24fb0cad81fdede2
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,.json,e8deff2685d79683c09e3b7f66f6487e7f9ce6e4ce63619d24fb0cad81fdede2
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,.json,e8deff2685d79683c09e3b7f66f6487e7f9ce6e4ce63619d24fb0cad81fdede2
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,.json,e8deff2685d79683c09e3b7f66f6487e7f9ce6e4ce63619d24fb0cad81fdede2
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,.json,e8deff2685d79683c09e3b7f66f6487e7f9ce6e4ce63619d24fb0cad81fdede2
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,.json,e8deff2685d79683c09e3b7f66f6487e7f9ce6e4ce63619d24fb0cad81fdede2
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,.json,e8deff2685d79683c09e3b7f66f6487e7f9ce6e4ce63619d24fb0cad81fdede2
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,.json,e8deff2685d79683c09e3b7f66f6487e7f9ce6e4ce63619d24fb0cad81fdede2
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,.json,e8deff2685d79683c09e3b7f66f6487e7f9ce6e4ce63619d24fb0cad81fdede2
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,.json,e8deff2685d79683c09e3b7f66f6487e7f9ce6e4ce63619d24fb0cad81fdede2
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,.json,e8deff2685d79683c09e3b7f66f6487e7f9ce6e4ce63619d24fb0cad81fdede2
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,.json,e8deff2685d79683c09e3b7f66f6487e7f9ce6e4ce63619d24fb0cad81fdede2
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,.json,e8deff2685d79683c09e3b7f66f6487e7f9ce6e4ce63619d24fb0cad81fdede2
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,.json,e8deff2685d79683c09e3b7f66f6487e7f9ce6e4ce63619d24fb0cad81fdede2
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,.json,e8deff2685d79683c09e3b7f66f6487e7f9ce6e4ce63619d24fb0cad81fdede2
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,.json,e8deff2685d79683c09e3b7f66f6487e7f9ce6e4ce63619d24fb0cad81fdede2
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,.json,e8deff2685d79683c09e3b7f66f6487e7f9ce6e4ce63619d24fb0cad81fdede2
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,.json,e8deff2685d79683c09e3b7f66f6487e7f9ce6e4ce63619d24fb0cad81fdede2
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,.json,e8deff2685d79683c09e3b7f66f6487e7f9ce6e4ce63619d24fb0cad81fdede2
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,.json,e8deff2685d79683c09e3b7f66f6487e7f9ce6e4ce63619d24fb0cad81fdede2
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,.json,e8deff2685d79683c09e3b7f66f6487e7f9ce6e4ce63619d24fb0cad81fdede2
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,.json,e8deff2685d79683c09e3b7f66f6487e7f9ce6e4ce63619d24fb0cad81fdede2
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,.json,e8deff2685d79683c09e3b7f66f6487e7f9ce6e4ce63619d24fb0cad81fdede2
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,.json,e8deff2685d79683c09e3b7f66f6487e7f9ce6e4ce63619d24fb0cad81fdede2
